index_no,model,simulation,scenario,run,step,time,agent_name,payoff,my_play,other_play
234,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_13,1,D,D
235,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_14,5,D,C
236,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_15,1,D,D
237,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_16,5,D,C
238,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_17,5,D,C
239,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_18,1,D,D
240,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_19,5,D,C
241,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_0,5,D,C
242,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_1,1,D,D
243,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_2,5,D,C
244,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_3,5,D,C
245,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_4,5,D,C
246,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_5,5,D,C
247,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_6,1,D,D
248,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_7,5,D,C
249,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_8,5,D,C
250,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_9,5,D,C
251,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_10,5,D,C
252,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_11,1,D,D
253,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_12,1,D,D
254,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_13,1,D,D
255,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_14,5,D,C
256,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_15,5,D,C
257,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_16,1,D,D
258,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_17,1,D,D
259,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_18,5,D,C
260,ipd,ipd,Scenario1,0,12,2020-06-17T18:43,BPl_19,5,D,C
261,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_0,5,D,C
262,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_1,5,D,C
263,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_2,5,D,C
264,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_3,1,D,D
265,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_4,1,D,D
266,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_5,5,D,C
267,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_6,1,D,D
268,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_7,1,D,D
269,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_8,5,D,C
270,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_9,5,D,C
271,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_10,5,D,C
272,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_11,1,D,D
273,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_12,5,D,C
274,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_13,1,D,D
275,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_14,5,D,C
276,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_15,5,D,C
277,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_16,1,D,D
278,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_17,1,D,D
279,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_18,5,D,C
280,ipd,ipd,Scenario1,0,13,2020-06-17T18:43,BPl_19,1,D,D
281,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_0,5,D,C
282,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_1,1,D,D
283,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_2,5,D,C
284,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_3,5,D,C
285,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_4,1,D,D
286,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_5,1,D,D
287,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_6,1,D,D
288,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_7,5,D,C
289,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_8,5,D,C
290,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_9,5,D,C
291,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_10,5,D,C
292,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_11,1,D,D
293,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_12,1,D,D
294,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_13,5,D,C
295,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_14,5,D,C
296,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_15,1,D,D
297,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_16,1,D,D
298,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_17,1,D,D
299,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_18,5,D,C
300,ipd,ipd,Scenario1,0,14,2020-06-17T18:43,BPl_19,5,D,C
301,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_0,5,D,C
302,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_1,1,D,D
303,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_2,5,D,C
304,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_3,5,D,C
305,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_4,1,D,D
306,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_5,1,D,D
307,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_6,5,D,C
308,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_7,5,D,C
309,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_8,5,D,C
310,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_9,5,D,C
311,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_10,5,D,C
312,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_11,5,D,C
313,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_12,5,D,C
314,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_13,5,D,C
315,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_14,5,D,C
316,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_15,5,D,C
317,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_16,1,D,D
318,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_17,5,D,C
319,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_18,1,D,D
320,ipd,ipd,Scenario1,0,15,2020-06-17T18:43,BPl_19,1,D,D
