index_no,agent_happiness,agent_name,heat_rate,model,run,scenario,simulation,step,time
213,8,Circumspect_Bug_2,0.7433550153385076,dumb_model,2,Scenario2,dumb_simulation,0,2019-09-30T19:36
214,3,Circumspect_Bug_0,0.9561935627446965,dumb_model,2,Scenario2,dumb_simulation,1,2019-09-30T19:36
215,5,Circumspect_Bug_1,1.159412721886929,dumb_model,2,Scenario2,dumb_simulation,1,2019-09-30T19:36
216,8,Circumspect_Bug_2,0.7433550153385076,dumb_model,2,Scenario2,dumb_simulation,1,2019-09-30T19:36
217,3,Circumspect_Bug_0,0.9561935627446965,dumb_model,2,Scenario2,dumb_simulation,2,2019-09-30T19:36
218,5,Circumspect_Bug_1,1.159412721886929,dumb_model,2,Scenario2,dumb_simulation,2,2019-09-30T19:36
219,8,Circumspect_Bug_2,0.7433550153385076,dumb_model,2,Scenario2,dumb_simulation,2,2019-09-30T19:36
220,3,Circumspect_Bug_0,0.9561935627446965,dumb_model,2,Scenario2,dumb_simulation,3,2019-09-30T19:36
221,5,Circumspect_Bug_1,1.159412721886929,dumb_model,2,Scenario2,dumb_simulation,3,2019-09-30T19:36
222,8,Circumspect_Bug_2,0.7433550153385076,dumb_model,2,Scenario2,dumb_simulation,3,2019-09-30T19:36
223,3,Circumspect_Bug_0,0.9561935627446965,dumb_model,2,Scenario2,dumb_simulation,4,2019-09-30T19:36
224,5,Circumspect_Bug_1,1.159412721886929,dumb_model,2,Scenario2,dumb_simulation,4,2019-09-30T19:36
225,8,Circumspect_Bug_2,0.7433550153385076,dumb_model,2,Scenario2,dumb_simulation,4,2019-09-30T19:36
226,3,Circumspect_Bug_0,0.9561935627446965,dumb_model,2,Scenario2,dumb_simulation,5,2019-09-30T19:36
227,5,Circumspect_Bug_1,1.159412721886929,dumb_model,2,Scenario2,dumb_simulation,5,2019-09-30T19:36
228,8,Circumspect_Bug_2,0.7433550153385076,dumb_model,2,Scenario2,dumb_simulation,5,2019-09-30T19:36
229,3,Circumspect_Bug_0,0.9561935627446965,dumb_model,2,Scenario2,dumb_simulation,6,2019-09-30T19:36
